id_solicitante,produto_solicitado,dia_vencimento,forma_envio_solicitacao,tipo_endereco,sexo,idade,estado_civil,qtde_dependentes,grau_instrucao,nacionalidade,estado_onde_nasceu,estado_onde_reside,possui_telefone_residencial,codigo_area_telefone_residencial,tipo_residencia,meses_na_residencia,possui_telefone_celular,possui_email,renda_mensal_regular,renda_extra,possui_cartao_visa,possui_cartao_mastercard,possui_cartao_diners,possui_cartao_amex,possui_outros_cartoes,qtde_contas_bancarias,qtde_contas_bancarias_especiais,valor_patrimonio_pessoal,possui_carro,vinculo_formal_com_empresa,estado_onde_trabalha,possui_telefone_trabalho,codigo_area_telefone_trabalho,meses_no_trabalho,profissao,ocupacao,profissao_companheiro,grau_instrucao_companheiro,local_onde_reside,local_onde_trabalha
20001,1,25,presencial,1,M,37,2,0,0,1,GO,MG,Y,32,1.0,5.0,N,0,1800.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,0.0,0.0,0.0,0.0,384.0,384.0
20002,1,10,internet,1,F,31,2,0,0,1,RJ,RJ,Y,24,1.0,1.0,N,1,424.88,0.0,0,0,0,0,0,0,0,0.0,0,Y,RJ,N, ,0,9.0,5.0,,,275.0,275.0
20003,1,10,internet,1,F,18,2,0,0,1,RS,RS,Y,54,1.0,12.0,N,1,400.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,RS,N, ,0,9.0,2.0,,,948.0,948.0
20004,1,10,presencial,1,F,55,2,0,0,1,PB,PB,Y,103,1.0,25.0,N,1,1400.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,9.0,1.0,0.0,0.0,581.0,581.0
20005,1,10,presencial,1,F,55,1,0,0,1,AL,AL,Y,100,1.0,11.0,N,0,350.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,0.0,1.0,0.0,0.0,573.0,573.0
20006,1,10,presencial,1,F,59,2,2,0,1,MA,MA,N, ,1.0,28.0,N,1,900.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,2.0,4.0,0.0,0.0,659.0,659.0
20007,1,10,presencial,1,M,63,2,1,0,1,SP,SP,Y,18,1.0,0.0,N,1,850.0,0.0,0,0,0,0,0,1,1,0.0,1,Y, ,N, ,0,0.0,0.0,0.0,0.0,133.0,133.0
20008,1,15,presencial,1,F,37,4,4,0,1,TO,GO,Y,67,1.0,0.0,N,1,350.0,350.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,9.0,1.0,0.0,0.0,749.0,749.0
20009,1,5,presencial,1,F,24,1,0,0,0, ,PA,Y,117,1.0,0.0,N,1,980.0,0.0,1,1,0,0,0,0,0,0.0,1,Y,PA,Y,117,0,9.0,2.0,11.0,0.0,661.0,661.0
20010,2,25,presencial,1,M,28,2,0,0,0, ,CE,Y,107,1.0,0.0,N,1,466.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,CE,N, ,0,9.0,2.0,11.0,0.0,627.0,627.0
20011,1,10,internet,1,M,18,1,0,0,1,SP,SP,Y,5,1.0,,N,1,530.5,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,2.0,,,750.0,750.0
20012,1,10,presencial,1,F,48,4,0,0,1,PR,PR,Y,41,1.0,28.0,N,1,350.0,150.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,9.0,5.0,0.0,0.0,843.0,843.0
20013,1,10,internet,1,M,73,3,0,0,1,GO,MT,N, ,5.0,10.0,N,1,347.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,2.0,1.0,,,786.0,786.0
20014,1,5,presencial,1,F,82,7,0,0,1,CE,CE,N, ,1.0,3.0,N,1,350.0,0.0,0,0,0,0,0,1,1,3000.0,1,N, ,N, ,0,15.0,1.0,0.0,0.0,617.0,617.0
20015,1,10,internet,1,F,25,2,2,0,1,PE,PE,Y,97,1.0,10.0,N,1,855.0,0.0,0,1,0,0,0,0,0,0.0,0,Y,PE,Y,97,0,10.0,2.0,,,534.0,534.0
20016,1,15,presencial,1,F,58,4,0,0,1,PB,AL,N, ,1.0,1.0,N,0,786.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,2.0,1.0,0.0,0.0,570.0,570.0
20017,1,10,presencial,1,F,52,4,0,0,1,PR,SP,Y,5,1.0,10.0,N,1,557.0,1151.0,0,0,0,0,0,1,1,0.0,1,Y,SP,Y,5,0,9.0,2.0,0.0,0.0,712.0,712.0
20018,1,20,internet,1,F,41,2,2,0,1,PB,PB,N, ,1.0,20.0,N,1,381.44,0.0,0,0,0,0,0,0,0,20000.0,0,N, ,N, ,0,,,6.0,2.0,585.0,585.0
20019,1,10,presencial,1,M,20,1,0,0,1,PR,PR,Y,40,1.0,0.0,N,1,500.0,0.0,0,1,0,0,0,1,1,0.0,1,N, ,N, ,0,0.0,0.0,0.0,0.0,833.0,833.0
20020,1,10,presencial,1,M,44,2,0,0,1,SP,SP,Y,5,1.0,0.0,N,0,1900.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,Y,9,0,9.0,2.0,0.0,0.0,750.0,750.0
20021,1,10,internet,1,M,82,2,0,0,1,CE,CE,Y,107,1.0,40.0,N,1,800.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,1.0,,,608.0,608.0
20022,1,15,correio,1,M,40,1,2,0,1,CE,CE,Y,107,2.0,1.0,N,1,435.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,CE,Y,107,0,11.0,2.0,11.0,,618.0,618.0
20023,2,10,presencial,1,M,47,6,0,0,1,MG,MG,Y,32,2.0,4.0,N,1,1097.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,9.0,5.0,0.0,0.0,380.0,380.0
