id_solicitante,produto_solicitado,dia_vencimento,forma_envio_solicitacao,tipo_endereco,sexo,idade,estado_civil,qtde_dependentes,grau_instrucao,nacionalidade,estado_onde_nasceu,estado_onde_reside,possui_telefone_residencial,codigo_area_telefone_residencial,tipo_residencia,meses_na_residencia,possui_telefone_celular,possui_email,renda_mensal_regular,renda_extra,possui_cartao_visa,possui_cartao_mastercard,possui_cartao_diners,possui_cartao_amex,possui_outros_cartoes,qtde_contas_bancarias,qtde_contas_bancarias_especiais,valor_patrimonio_pessoal,possui_carro,vinculo_formal_com_empresa,estado_onde_trabalha,possui_telefone_trabalho,codigo_area_telefone_trabalho,meses_no_trabalho,profissao,ocupacao,profissao_companheiro,grau_instrucao_companheiro,local_onde_reside,local_onde_trabalha,inadimplente
1,1,10,presencial,1,M,85,2,0,0,1,CE,CE,Y,107,1.0,12.0,N,0,480.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,9.0,1.0,0.0,0.0,600.0,600.0,0
2,1,25,internet,1,F,38,1,0,0,1,SE,SE,Y,91,1.0,5.0,N,1,380.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,2.0,5.0,,,492.0,492.0,0
3,1,20,internet,1,F,37,2,0,0,1,BA,BA,Y,90,5.0,1.0,N,1,600.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,,,,450.0,450.0,1
4,1,20,internet,1,M,37,1,1,0,1,RS,RS,Y,54,1.0,1.0,N,1,460.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,RS,Y,54,0,9.0,2.0,,,932.0,932.0,1
5,7,1,internet,1,F,51,1,3,0,1,BA,BA,Y,86,0.0,1.0,N,1,687.0,600.0,0,0,0,0,0,0,0,0.0,1,Y,BA,N, ,0,9.0,5.0,,,440.0,440.0,1
6,1,20,presencial,1,M,21,1,1,0,1,CE,CE,Y,107,5.0,2.0,N,0,382.0,0.0,1,0,0,0,0,0,0,0.0,1,Y,CE,Y,107,0,9.0,2.0,0.0,0.0,628.0,628.0,1
7,1,15,presencial,1,F,64,4,2,0,1,SP,SP,Y,16,1.0,0.0,N,1,350.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,10.0,1.0,0.0,0.0,190.0,190.0,1
8,1,5,internet,1,F,20,1,0,0,1,ES,ES,Y,25,1.0,5.0,N,1,800.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,,,,299.0,299.0,1
9,2,25,internet,1,F,39,2,2,0,1,GO,GO,Y,67,1.0,3.0,N,1,1200.0,0.0,1,0,0,0,0,0,0,0.0,0,Y, ,Y,69,0,9.0,2.0,9.0,4.0,756.0,756.0,0
10,1,10,presencial,1,M,44,2,2,0,1,RS,RS,N, ,1.0,15.0,N,0,749.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,RS,N, ,0,9.0,2.0,16.0,4.0,960.0,960.0,1
11,1,15,presencial,1,M,38,2,0,0,1,BA,BA,Y,81,1.0,10.0,N,1,660.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,BA,Y,81,0,9.0,2.0,0.0,0.0,413.0,413.0,1
12,1,1,internet,1,M,23,1,1,0,1,CE,CE,Y,107,,10.0,N,1,393.0,0.0,0,1,0,0,0,0,0,0.0,0,Y,CE,Y,107,0,9.0,2.0,,,628.0,628.0,0
13,2,20,presencial,1,F,29,1,1,0,1,SP,SP,Y,10,1.0,0.0,N,1,400.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,2.0,4.0,0.0,0.0,118.0,118.0,0
14,1,20,internet,1,M,28,1,0,0,1,RS,RS,Y,58,1.0,0.0,N,1,1147.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,RS,Y,58,0,9.0,5.0,,,960.0,960.0,0
15,1,25,internet,1,M,33,2,1,0,1,CE,CE,Y,107,1.0,4.0,N,1,250.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,,,,618.0,618.0,1
16,1,25,presencial,1,F,40,2,0,0,1,PR,MG,Y,32,1.0,14.0,N,1,2600.0,0.0,0,0,0,0,0,1,1,0.0,0,N, ,N, ,0,9.0,2.0,,,388.0,388.0,0
17,1,5,internet,1,M,41,1,3,0,1,AC,AC,Y,76,1.0,16.0,N,1,360.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,,,,699.0,699.0,0
