id_solicitante,produto_solicitado,dia_vencimento,sexo,idade,estado_civil,possui_telefone_residencial,meses_na_residencia,valor_patrimonio_pessoal_norm,profissao,ocupacao,inadimplente,idade_bin,renda_total_norm,estado_onde_nasceu,estado_onde_reside,regiao_onde_reside,regiao_onde_nasceu,origem
1,1,10,M,85,2,Y,12.0,-0.051989890358970794,9.0,1.0,0.0,"(80, 90]",-0.04667000959815715,CE,CE,Nordeste,Nordeste,treino
2,1,25,F,38,1,Y,5.0,-0.051989890358970794,2.0,5.0,0.0,"(30, 40]",-0.056197547108296754,SE,SE,Nordeste,Nordeste,treino
3,1,20,F,37,2,Y,1.0,-0.051989890358970794,,,1.0,"(30, 40]",-0.03523696458598962,BA,BA,Nordeste,Nordeste,treino
4,1,20,M,37,1,Y,1.0,-0.051989890358970794,9.0,2.0,1.0,"(30, 40]",-0.048575517100185074,RS,RS,Sul,Sul,treino
5,7,1,F,51,1,Y,1.0,-0.051989890358970794,9.0,5.0,1.0,"(50, 60]",0.030217218108669473,BA,BA,Nordeste,Nordeste,treino
6,1,20,M,21,1,Y,2.0,-0.051989890358970794,9.0,2.0,1.0,"(20, 30]",-0.05600699635809396,CE,CE,Nordeste,Nordeste,treino
7,1,15,F,64,4,Y,0.0,-0.051989890358970794,10.0,1.0,1.0,"(60, 70]",-0.05905580836133864,SP,SP,Sudeste,Sudeste,treino
8,1,5,F,20,1,Y,5.0,-0.051989890358970794,,,1.0,"(10, 20]",-0.01618188956571041,ES,ES,Sudeste,Sudeste,treino
9,2,25,F,39,2,Y,3.0,-0.051989890358970794,9.0,2.0,0.0,"(30, 40]",0.021928260474848017,GO,GO,Centro-Oeste,Centro-Oeste,treino
10,1,10,M,44,2,N,15.0,-0.051989890358970794,9.0,2.0,1.0,"(40, 50]",-0.02104093369588161,RS,RS,Sul,Sul,treino
11,1,15,M,38,2,Y,10.0,-0.051989890358970794,9.0,2.0,1.0,"(30, 40]",-0.029520442079905857,BA,BA,Nordeste,Nordeste,treino
12,1,1,M,23,1,Y,10.0,-0.051989890358970794,9.0,2.0,0.0,"(20, 30]",-0.05495896723197861,CE,CE,Nordeste,Nordeste,treino
13,2,20,F,29,1,Y,0.0,-0.051989890358970794,2.0,4.0,0.0,"(20, 30]",-0.054292039606268834,SP,SP,Sudeste,Sudeste,treino
14,1,20,M,28,1,Y,0.0,-0.051989890358970794,9.0,5.0,0.0,"(20, 30]",0.016878665594474023,RS,RS,Sul,Sul,treino
15,1,25,M,33,2,Y,4.0,-0.051989890358970794,,,1.0,"(30, 40]",-0.06858334587147824,CE,CE,Nordeste,Nordeste,treino
16,1,25,F,40,2,Y,14.0,-0.051989890358970794,9.0,2.0,0.0,"(30, 40]",0.1553137856168025,PR,MG,Sudeste,Sul,treino
17,1,5,M,41,1,Y,16.0,-0.051989890358970794,,,0.0,"(40, 50]",-0.058103054610324674,AC,AC,Norte,Norte,treino
18,1,15,F,54,2,N,7.0,-0.051989890358970794,9.0,5.0,1.0,"(50, 60]",-0.01618188956571041,SP,SP,Sudeste,Sudeste,treino
19,1,25,F,30,6,Y,8.0,-0.051989890358970794,9.0,2.0,1.0,"(20, 30]",-0.049528270851199034,RS,RS,Sul,Sul,treino
20,1,5,M,39,2,Y,1.0,-0.051989890358970794,7.0,5.0,0.0,"(30, 40]",0.0028731854545688026,PE,PE,Nordeste,Nordeste,treino
21,1,10,F,19,1,Y,0.0,-0.051989890358970794,11.0,2.0,1.0,"(10, 20]",-0.053339285855254874, ,PR,Sul,Sem estado,treino
22,2,20,F,45,1,N,,-0.051989890358970794,9.0,2.0,0.0,"(40, 50]",-0.05905580836133864,CE,CE,Nordeste,Nordeste,treino
23,1,25,F,32,7,Y,32.0,-0.051989890358970794,,,1.0,"(30, 40]",-0.03018736970561563,SP,SP,Sudeste,Sudeste,treino
24,7,10,F,28,6,Y,15.0,-0.051989890358970794,0.0,0.0,1.0,"(20, 30]",-0.05905580836133864,SP,SP,Sudeste,Sudeste,treino
25,1,25,F,47,2,Y,12.0,-0.051989890358970794,,,1.0,"(40, 50]",-0.006654352055570804,PE,PE,Nordeste,Nordeste,treino
26,1,10,M,36,2,Y,,-0.051989890358970794,,,0.0,"(30, 40]",-0.006654352055570804,BA,SP,Sudeste,Nordeste,treino
27,1,5,F,56,1,N,1.0,-0.051989890358970794,11.0,4.0,0.0,"(50, 60]",-0.01618188956571041,AC,RS,Sul,Norte,treino
28,2,5,F,50,4,N,5.0,1.2047743962207018,11.0,1.0,0.0,"(40, 50]",0.08970906782948321,SP,SP,Sudeste,Sudeste,treino
29,1,25,M,54,2,Y,8.0,-0.051989890358970794,2.0,4.0,1.0,"(50, 60]",0.021928260474848017,BA,BA,Nordeste,Nordeste,treino
30,1,15,F,31,1,Y,4.0,-0.051989890358970794,9.0,4.0,1.0,"(30, 40]",-0.06858334587147824,PE,PB,Nordeste,Nordeste,treino
31,1,10,M,38,2,N,15.0,-0.051989890358970794,0.0,2.0,1.0,"(30, 40]",-0.054292039606268834,MA,MA,Nordeste,Nordeste,treino
32,1,15,F,53,1,Y,1.0,-0.051989890358970794,11.0,5.0,0.0,"(50, 60]",0.03517153761394207,RS,RS,Sul,Sul,treino
33,2,10,M,60,2,Y,1.0,-0.051989890358970794,9.0,5.0,1.0,"(50, 60]",0.021928260474848017,BA,BA,Nordeste,Nordeste,treino
34,1,15,M,35,2,Y,12.0,-0.051989890358970794,9.0,2.0,1.0,"(30, 40]",-0.035427515336192414,MG,RJ,Sudeste,Sudeste,treino
35,2,1,F,36,2,Y,10.0,-0.051989890358970794,9.0,5.0,1.0,"(30, 40]",-0.05905580836133864,CE,CE,Nordeste,Nordeste,treino
36,1,10,F,57,1,Y,15.0,-0.051989890358970794,,,0.0,"(50, 60]",-0.01618188956571041,PE,SE,Nordeste,Nordeste,treino
37,1,10,M,42,2,Y,8.0,-0.051989890358970794,9.0,4.0,1.0,"(40, 50]",-0.05905580836133864,CE,CE,Nordeste,Nordeste,treino
38,1,10,F,57,4,N,15.0,-0.051989890358970794,,,0.0,"(50, 60]",-0.052291256729139514,MT,MT,Centro-Oeste,Centro-Oeste,treino
39,1,25,F,43,5,Y,20.0,-0.051989890358970794,9.0,4.0,0.0,"(40, 50]",-0.05905580836133864,PE,PE,Nordeste,Nordeste,treino
40,1,10,F,32,2,Y,23.0,0.7020686815888327,12.0,2.0,1.0,"(30, 40]",-0.055340068732384194,BA,PE,Nordeste,Nordeste,treino
41,1,25,F,49,2,Y,3.0,-0.051989890358970794,2.0,4.0,1.0,"(40, 50]",-0.01618188956571041,BA,BA,Nordeste,Nordeste,treino
