Id,tipo,bairro,tipo_vendedor,quartos,suites,vagas,area_util,area_extra,diferenciais,churrasqueira,estacionamento,piscina,playground,quadra,s_festas,s_jogos,s_ginastica,sauna,vista_mar,origem,preco
2000,1,36,0,3,3,5,223,167,55,0,0,1,0,0,0,0,0,0,0,treino,1000000.0
2001,0,15,0,4,4,2,157,0,54,1,0,1,0,0,0,0,0,0,0,treino,680000.0
2002,0,25,0,3,1,0,53,0,50,0,0,0,0,0,0,0,0,0,0,treino,450000.0
2003,0,10,0,4,3,2,149,0,54,1,0,1,0,0,0,0,0,0,0,treino,1080000.0
2004,0,54,0,2,1,1,54,0,54,1,0,1,0,0,0,0,0,0,0,treino,350000.0
2005,0,11,0,3,0,1,130,0,67,0,0,0,1,0,0,0,0,0,0,treino,490000.0
2006,0,54,0,4,2,0,105,0,60,0,0,1,1,0,0,0,0,0,0,treino,680000.0
2007,0,27,0,3,1,1,124,0,50,0,0,0,0,0,0,0,0,0,0,treino,390000.0
2009,0,10,0,3,1,1,72,0,50,0,0,0,0,0,0,0,0,0,0,treino,400000.0
2010,0,10,0,4,3,2,125,0,55,0,0,1,0,0,0,0,0,0,0,treino,980000.0
2011,0,10,0,4,4,3,150,0,60,0,0,1,1,0,0,0,0,0,0,treino,1200000.0
2012,0,10,0,2,0,1,72,0,50,0,0,0,0,0,0,0,0,0,0,treino,215000.0
2013,0,10,0,1,1,2,92,22,86,0,0,0,1,0,0,0,0,1,0,treino,750000.0
2014,0,10,0,3,1,2,120,0,50,0,0,0,0,0,0,0,0,0,0,treino,580000.0
2016,0,63,0,3,1,1,75,0,50,0,0,0,0,0,0,0,0,0,0,treino,300000.0
2017,0,30,0,3,1,1,104,0,50,0,0,0,0,0,0,0,0,0,0,treino,420000.0
2018,0,43,0,3,1,1,135,0,54,1,0,1,0,0,0,0,0,0,0,treino,560000.0
2019,0,10,0,3,1,2,82,0,54,1,0,1,0,0,0,0,0,0,0,treino,489000.0
2021,0,43,0,3,1,1,67,0,54,1,0,1,0,0,0,0,0,0,0,treino,380000.0
2022,0,10,0,4,2,2,145,0,62,0,0,1,0,1,0,0,0,0,0,treino,690000.0
2023,0,10,0,3,2,2,163,110,77,0,0,0,0,0,1,0,0,0,0,treino,700000.0
2024,0,10,0,3,1,0,100,20,50,0,0,0,0,0,0,0,0,0,0,treino,400000.0
2025,0,30,0,4,1,2,209,117,3,0,0,0,1,1,0,0,0,0,0,treino,690000.0
2027,0,10,0,3,1,1,65,10,54,1,0,1,0,0,0,0,0,0,0,treino,370000.0
2028,0,10,0,3,1,2,88,42,54,1,0,1,0,0,0,0,0,0,0,treino,579000.0
2029,0,59,0,2,0,1,50,0,57,0,1,1,0,0,0,0,0,0,0,treino,265000.0
2030,0,10,0,3,0,0,109,0,50,0,0,0,0,0,0,0,0,0,0,treino,300000.0
